	PHASE	TYPE	ORIGINAL	ACTUAL	UP	DP	position	position_UP	position_DP	phoneme	phon_prob	error
1	Original	Original	@JEnt@	@JEnt@	3	3	1	?	?	@	0.03034	1.93932
2	Original	Original	@JEnt@	@JEnt@	3	3	2	?	?	J	0.02031	1.95938
3	Original	Original	@JEnt@	@JEnt@	3	3	3	?	?	E	0.05842	1.88315
4	Original	Original	@JEnt@	@JEnt@	3	3	4	?	?	n	1.00000	0.00000
5	Original	Original	@JEnt@	@JEnt@	3	3	5	?	?	t	1.00000	0.00000
6	Original	Original	@JEnt@	@JEnt@	3	3	6	?	?	@	1.00000	0.00000
7	Original	Original	alb!no	alb!no	4	4	1	?	?	a	0.02156	1.95687
8	Original	Original	alb!no	alb!no	4	4	2	?	?	l	0.12447	1.75107
9	Original	Original	alb!no	alb!no	4	4	3	?	?	b	0.11713	1.76575
10	Original	Original	alb!no	alb!no	4	4	4	?	?	!	0.09109	1.81782
11	Original	Original	alb!no	alb!no	4	4	5	?	?	n	1.00000	0.00000
12	Original	Original	alb!no	alb!no	4	4	6	?	?	o	1.00000	0.00000
13	Original	Original	antEn@	antEn@	7	7	1	?	?	a	0.02156	1.95687
14	Original	Original	antEn@	antEn@	7	7	2	?	?	n	0.20659	1.58683
15	Original	Original	antEn@	antEn@	7	7	3	?	?	t	0.41871	1.16258
16	Original	Original	antEn@	antEn@	7	7	4	?	?	E	0.05208	1.89583
17	Original	Original	antEn@	antEn@	7	7	5	?	?	n	1.00000	0.00000
18	Original	Original	antEn@	antEn@	7	7	6	?	?	@	0.71635	0.56729
19	Original	Original	baC@l#	baC@l#	7	7	1	?	?	b	0.05727	1.88546
20	Original	Original	baC@l#	baC@l#	7	7	2	?	?	a	0.10805	1.78391
21	Original	Original	baC@l#	baC@l#	7	7	3	?	?	C	0.01556	1.96887
22	Original	Original	baC@l#	baC@l#	7	7	4	?	?	@	1.00000	0.00000
23	Original	Original	baC@l#	baC@l#	7	7	5	?	?	l	1.00000	0.00000
24	Original	Original	baC@l#	baC@l#	7	7	6	?	?	#	1.00000	0.00000
25	Original	Original	bArg@n	bArg@n	7	7	1	?	?	b	0.05727	1.88546
26	Original	Original	bArg@n	bArg@n	7	7	2	?	?	A	0.07004	1.85992
27	Original	Original	bArg@n	bArg@n	7	7	3	?	?	r	0.31876	1.36249
28	Original	Original	bArg@n	bArg@n	7	7	4	?	?	g	0.07374	1.85251
29	Original	Original	bArg@n	bArg@n	7	7	5	?	?	@	1.00000	0.00000
30	Original	Original	bArg@n	bArg@n	7	7	6	?	?	n	1.00000	0.00000
31	Original	Original	be@n@t	be@n@t	7	7	1	?	?	b	0.05727	1.88546
32	Original	Original	be@n@t	be@n@t	7	7	2	?	?	e	0.03093	1.93815
33	Original	Original	be@n@t	be@n@t	7	7	3	?	?	@	0.04262	1.91477
34	Original	Original	be@n@t	be@n@t	7	7	4	?	?	n	0.67946	0.64108
35	Original	Original	be@n@t	be@n@t	7	7	5	?	?	@	1.00000	0.00000
36	Original	Original	be@n@t	be@n@t	7	7	6	?	?	t	1.00000	0.00000
37	Original	Original	bIkini	bIkini	7	7	1	?	?	b	0.05727	1.88546
38	Original	Original	bIkini	bIkini	7	7	2	?	?	I	0.10110	1.79779
39	Original	Original	bIkini	bIkini	7	7	3	?	?	k	0.06742	1.86517
40	Original	Original	bIkini	bIkini	7	7	4	?	?	i	0.13848	1.72305
41	Original	Original	bIkini	bIkini	7	7	5	?	?	n	1.00000	0.00000
42	Original	Original	bIkini	bIkini	7	7	6	?	?	i	1.00000	0.00000
43	Original	Original	brambL	brambL	7	7	1	?	?	b	0.05727	1.88546
44	Original	Original	brambL	brambL	7	7	2	?	?	r	0.15741	1.68518
45	Original	Original	brambL	brambL	7	7	3	?	?	a	0.10049	1.79902
46	Original	Original	brambL	brambL	7	7	4	?	?	m	0.06194	1.87611
47	Original	Original	brambL	brambL	7	7	5	?	?	b	1.00000	0.00000
48	Original	Original	brambL	brambL	7	7	6	?	?	L	1.00000	0.00000
49	Original	Original	bVf@lo	bVf@lo	7	7	1	?	?	b	0.05727	1.88546
50	Original	Original	bVf@lo	bVf@lo	7	7	2	?	?	V	0.06938	1.86124
51	Original	Original	bVf@lo	bVf@lo	7	7	3	?	?	f	0.05233	1.89534
52	Original	Original	bVf@lo	bVf@lo	7	7	4	?	?	@	0.46702	1.06597
53	Original	Original	bVf@lo	bVf@lo	7	7	5	?	?	l	0.68219	0.63562
54	Original	Original	bVf@lo	bVf@lo	7	7	6	?	?	o	1.00000	0.00000
55	Original	Original	kab#re	kab#re	4	4	1	?	?	k	0.09071	1.81858
56	Original	Original	kab#re	kab#re	4	4	2	?	?	a	0.11114	1.77772
57	Original	Original	kab#re	kab#re	4	4	3	?	?	b	0.02790	1.94420
58	Original	Original	kab#re	kab#re	4	4	4	?	?	#	0.11036	1.77927
59	Original	Original	kab#re	kab#re	4	4	5	?	?	r	1.00000	0.00000
60	Original	Original	kab#re	kab#re	4	4	6	?	?	e	1.00000	0.00000
61	Original	Original	kanj@n	kanj@n	7	7	1	?	?	k	0.09071	1.81858
62	Original	Original	kanj@n	kanj@n	7	7	2	?	?	a	0.11114	1.77772
63	Original	Original	kanj@n	kanj@n	7	7	3	?	?	n	0.18398	1.63204
64	Original	Original	kanj@n	kanj@n	7	7	4	?	?	j	0.03674	1.92651
65	Original	Original	kanj@n	kanj@n	7	7	5	?	?	@	1.00000	0.00000
66	Original	Original	kanj@n	kanj@n	7	7	6	?	?	n	1.00000	0.00000
67	Original	Original	k@sino	k@sino	4	4	1	?	?	k	0.09071	1.81858
68	Original	Original	k@sino	k@sino	4	4	2	?	?	@	0.21280	1.57439
